"ranks","name","year","rating","over.votes","X10","X9","X8","X7","X6","X5","X4","X3","X2","X1","men_rating","women_rating","men_votes","women_votes"
67,"American Beauty",1999,8.3,1143050,249325,309204,311634,155881,55481,23398,11508,7245,5754,13620,8.4,8.1,655504,176964
68,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,8.3,486551,134453,121418,112933,61331,24725,11742,5501,3290,2537,8621,8.4,8.1,310256,41368
69,"Spider-Man: Into the Spider-Verse",2018,8.3,511499,128691,147168,135460,60887,18656,6556,2708,1738,1784,7851,8.3,8.5,243955,37567
70,"The Dark Knight Rises",2012,8.3,1679595,466219,457073,417150,198918,71508,27646,13177,7578,5656,14670,8.4,8.4,996175,169396
71,"Oldeuboi",2003,8.3,571028,134108,163885,147421,68065,25115,11269,5917,3565,2878,8805,8.4,8.2,361878,54926
72,"Joker",2019,8.3,1235342,368023,331431,278798,138630,54508,22879,11101,7017,5753,17202,8.3,8.4,558677,113175
73,"Amadeus",1984,8.3,398078,89501,101475,112241,57473,19196,7835,3611,1900,1317,3529,8.3,8.4,230696,58864
74,"Braveheart",1995,8.3,1027941,256529,263223,269485,138401,49600,20896,9796,5984,4313,9714,8.4,8.1,634897,110644
75,"Toy Story",1995,8.3,980933,200252,242072,311526,147253,45234,16662,6502,3504,2425,5503,8.3,8.3,534140,138596
76,"Coco",2017,8.3,492961,122358,132507,137891,65571,20067,6315,2409,1270,928,3645,8.3,8.6,222779,69360
77,"Inglourious Basterds",2009,8.3,1421662,283726,414778,407150,182492,62471,25746,13270,8677,6408,16944,8.3,8.3,824799,160725
78,"Das Boot",1981,8.3,249748,55917,69476,68176,32111,10846,4936,2390,1381,1032,3483,8.4,8.1,167617,15931
79,"Mononoke-hime",1997,8.3,389416,98722,103844,101531,50154,16861,6872,3209,1731,1460,5032,8.3,8.3,212577,57330
80,"Avengers: Endgame",2019,8.3,1095225,385992,242763,217721,121022,51492,22972,10421,7031,5576,30235,8.3,8.5,483429,87770
81,"Once Upon a Time in America",1984,8.3,348727,85887,89637,92318,45659,16551,7405,3637,2217,1737,3679,8.4,8.1,228474,25347
82,"Good Will Hunting",1997,8.3,952854,186033,263611,303288,133423,37670,13074,5747,3041,2226,4741,8.3,8.3,536688,128332
83,"Kimi no na wa.",2016,8.3,260578,78178,66150,62520,31943,10772,3987,1754,970,805,3499,8.3,8.4,113668,27508
84,"Requiem for a Dream",2000,8.3,832114,193297,223179,215253,107795,41353,18679,9890,6389,4921,11358,8.3,8.3,485905,124074
85,"Toy Story 3",2010,8.3,826942,177803,197527,233271,131878,46551,17590,7380,4160,3075,7707,8.3,8.3,471070,118641
86,"Singin' in the Rain",1952,8.3,240609,60316,54231,62701,34872,13495,5991,2896,1535,1120,3452,8.3,8.5,123458,48271
87,"3 Idiots",2009,8.3,394672,147133,98882,73209,35163,13582,6961,3787,2693,2337,10925,8.3,8.4,219046,37013
88,"Star Wars: Episode VI - Return of the Jedi",1983,8.3,1040167,230844,258194,305388,151870,49863,18341,7474,4691,3462,10040,8.3,8.3,615538,96316
89,"Tengoku to jigoku",1963,8.3,44384,9539,11988,12427,5289,1719,788,383,362,474,1415,8.4,8.1,28832,3600
90,"2001: A Space Odyssey",1968,8.3,660981,199643,142936,136179,79996,39489,21542,12094,8924,6730,13448,8.3,7.9,407633,54701
91,"Eternal Sunshine of the Spotless Mind",2004,8.3,994525,232368,261659,259337,134394,50763,21728,10857,6645,4920,11854,8.3,8.3,554403,169275
92,"Reservoir Dogs",1992,8.3,1004557,176037,284536,315274,144185,44151,16489,7726,4644,3671,7844,8.3,8.1,616593,88806
93,"Capharnaüm",2018,8.3,87753,21971,25384,24144,9556,2815,1229,558,361,342,1393,8.3,8.7,44733,11443
94,"Lawrence of Arabia",1962,8.3,291592,75211,66089,71273,40207,16271,7511,3869,2231,1768,7162,8.3,8,185210,26116
95,"Citizen Kane",1941,8.3,439033,122878,94407,99995,58647,26077,13432,6887,4478,3474,8758,8.3,8.1,265587,46756
96,"Jagten",2012,8.3,325470,50995,95539,110131,45382,12222,4601,2217,1133,979,2271,8.3,8.3,189878,43630
97,"M - Eine Stadt sucht einen Mörder",1931,8.3,157077,34334,38720,41688,21454,8329,4075,2160,1241,1001,4075,8.3,8.2,98092,17096
98,"North by Northwest",1959,8.3,325544,65969,82648,95774,49377,16167,6564,2917,1604,1232,3292,8.3,8.2,199535,35808
99,"Idi i smotri",1985,8.2,77826,21941,17521,18535,9382,3715,1981,1012,735,614,2390,8.3,8.3,47136,5666
100,"Vertigo",1958,8.2,399056,89284,96260,110894,60685,21715,9051,3967,2229,1460,3511,8.3,8.2,233053,50654
101,"Le fabuleux destin d'Amélie Poulain",2001,8.2,750650,190668,187949,184798,100982,38376,16992,8754,5412,4184,12535,8.3,8.5,399264,153574
102,"A Clockwork Orange",1971,8.2,820329,199289,205783,201534,108802,44320,21264,11428,7764,6166,13979,8.3,8.1,486375,100134
103,"Full Metal Jacket",1987,8.2,734415,120896,202424,240968,112017,32911,11664,4895,2839,1813,3988,8.3,8.1,472781,52260
104,"Double Indemnity",1944,8.2,156433,30496,37735,46494,23497,7879,3666,1981,951,891,2843,8.3,8.1,95234,18713
105,"The Apartment",1960,8.2,180468,35756,43812,54391,27402,9072,3869,1921,953,811,2481,8.3,8.1,105986,25473
106,"Scarface",1983,8.2,826626,179835,212855,243160,118114,38980,14481,6844,3992,2607,5758,8.3,8,524238,62894
107,"Ikiru",1952,8.2,77946,19920,17460,19416,9897,3744,2032,1035,654,847,2941,8.3,8.2,48694,6893
108,"The Sting",1973,8.2,260311,48301,68977,81568,38859,11629,4492,2141,1089,963,2292,8.3,8.2,165648,24311
109,"To Kill a Mockingbird",1962,8.2,314798,69412,76126,88598,47020,16700,7109,3079,1672,1284,3798,8.2,8.4,178694,51012
110,"Taxi Driver",1976,8.2,816142,169150,204348,230130,125892,46129,18458,8079,4670,3217,6069,8.3,8,492338,72810
111,"Heat",1995,8.2,646656,128936,163048,198118,100054,32270,11624,4586,2470,1658,3892,8.3,7.9,430238,39556
112,"Up",2009,8.2,1030386,202464,265205,311006,161487,52933,18016,7223,3761,2667,5624,8.2,8.4,552174,171060
113,"L.A. Confidential",1997,8.2,578507,93201,155094,188381,91235,28037,10258,4515,2366,1631,3789,8.3,8,375734,52402
114,"Metropolis",1927,8.2,173390,41218,39926,44112,23785,9806,5090,2672,1686,1245,3850,8.3,8.3,105480,21582
115,"Incendies",2010,8.2,175625,33519,50298,53484,22669,6993,2996,1448,983,860,2375,8.2,8.4,104546,22550
116,"Jodaeiye Nader az Simin",2011,8.2,243940,71718,56792,60293,30306,10065,4727,2307,1262,1123,5347,8.3,8.2,144691,33048
117,"Die Hard",1988,8.2,867141,156586,203646,283114,148269,44436,15152,6083,3187,2084,4584,8.3,7.9,549583,76826
118,"Snatch",2000,8.2,847001,163909,231594,260944,120098,37777,13970,6425,3518,2666,6100,8.3,8.1,549352,78893
119,"Indiana Jones and the Last Crusade",1989,8.2,747294,135746,182319,242101,121757,36945,12986,5265,3207,2369,4599,8.3,8.1,460769,72402
120,"Ladri di biciclette",1948,8.2,162651,35676,39455,44463,23271,8632,4356,2017,1135,964,2682,8.3,8.2,99809,18567
121,"Hamilton",2020,8.2,91725,32617,20849,16296,8230,3839,2191,1244,980,1229,4250,8.1,8.9,37827,14399
122,"1917",2019,8.2,570186,98546,162722,180339,85288,25679,8399,3279,1853,1187,2894,8.2,8.3,288096,44370
123,"Taare Zameen Par",2007,8.2,191858,61901,49946,41113,19328,6801,3375,1867,1091,1077,5359,8.3,8.3,107793,18166
124,"Der Untergang",2004,8.2,353722,60619,93604,116854,53415,15054,5544,2555,1251,1018,3808,8.3,8.1,241650,30237
125,"Per qualche dollaro in più",1965,8.2,254984,41984,66926,88422,38210,10296,3825,1706,859,626,2130,8.3,7.9,171440,13198
126,"Batman Begins",2005,8.2,1449410,264583,370165,480427,222415,61721,20823,8744,4651,3739,12142,8.3,8.1,870459,139436
127,"Dangal",2016,8.2,188352,57849,46020,44548,20351,6457,3068,1642,905,998,6514,8.3,8.4,95677,13533
128,"The Kid",1921,8.2,125969,26438,29654,38475,17850,5903,2818,1435,639,707,2050,8.2,8.4,76409,14040
129,"Some Like It Hot",1959,8.2,265461,58116,59512,74750,42588,15503,6403,2795,1570,1354,2870,8.2,8.4,142008,51087
130,"All About Eve",1950,8.2,130956,29895,28894,35385,19393,7249,3792,1925,1069,782,2572,8.2,8.5,70552,24631
131,"The Father",2020,8.2,145710,25653,41360,47873,20467,5920,1974,755,513,371,824,8.2,8.3,73296,14904
132,"Green Book",2018,8.2,478167,82560,135557,160089,67972,18493,6291,2503,1259,932,2511,8.2,8.4,237070,57776
133,"The Wolf of Wall Street",2013,8.2,1374630,261206,367788,408490,201001,68868,26901,12595,8364,6164,13253,8.2,7.8,728589,161066
134,"Spider-Man: No Way Home",2021,8.2,714308,259913,154998,142378,82801,32915,13299,6055,4047,3017,14885,8.1,8.4,258979,42714
135,"Judgment at Nuremberg",1961,8.2,77394,14353,18866,23927,11462,3718,1648,659,476,401,1884,8.3,8.4,49114,7991
136,"Ran",1985,8.2,124971,28914,29580,32605,17123,6653,3298,1600,1127,857,3214,8.2,8,81528,8665
137,"Casino",1995,8.2,513901,86905,129558,173388,81761,23978,8425,3266,1895,1335,3390,8.2,7.9,335573,35376
138,"Unforgiven",1992,8.2,409095,73075,102344,127569,65972,21558,8052,3668,1847,1370,3640,8.2,7.7,277128,24598
139,"Pan's Labyrinth",2006,8.2,663132,135382,165426,182281,101995,39157,15610,7412,4618,3104,8147,8.2,8.3,395958,106828
140,"There Will Be Blood",2007,8.2,579479,128131,137104,154256,86986,35027,14789,7384,4580,3578,7644,8.2,7.9,379616,47555
141,"The Truman Show",1998,8.2,1059317,163965,253576,366795,182593,55014,18633,7343,3997,2606,4795,8.2,8.1,588129,140418
142,"The Sixth Sense",1999,8.2,981342,155452,244131,325565,164279,53372,17768,7397,4073,3134,6171,8.2,8.2,567686,147312
143,"A Beautiful Mind",2001,8.2,922760,157989,241788,311582,140704,41392,13986,5682,3170,2217,4250,8.2,8.3,524597,133278
144,"Monty Python and the Holy Grail",1975,8.2,537503,126650,131690,140114,76675,28833,12969,6466,4120,3018,6968,8.2,8.2,328169,61363
145,"Yôjinbô",1961,8.1,122440,23154,30566,36641,16979,5877,2866,1533,831,849,3144,8.2,7.9,79951,8474
146,"The Treasure of the Sierra Madre",1948,8.1,124549,23871,28522,36818,19738,7082,3178,1640,864,713,2123,8.2,7.9,80540,10195
147,"Shutter Island",2010,8.1,1285213,231124,347878,409726,188720,62095,21271,9574,5328,3525,5972,8.1,8.2,711756,171086
148,"Jurassic Park",1993,8.1,975413,180703,207512,319277,172215,55689,19934,8140,4461,2781,4701,8.2,8.1,557719,109045
149,"The Great Escape",1963,8.1,243363,44184,60074,79239,38515,11465,3907,1510,1165,717,2587,8.2,8.2,161145,17547
150,"Rashômon",1950,8.1,167590,36319,39425,44483,25031,9304,4619,2366,1276,1128,3639,8.2,8.1,106210,15356
151,"Kill Bill: Vol. 1",2003,8.1,1100381,200804,263759,333097,167701,61333,26495,13233,9185,7534,17240,8.1,8.2,649000,130473
152,"No Country for Old Men",2007,8.1,957459,169963,244831,282017,146990,54416,23179,10940,6998,5244,12881,8.2,7.7,603110,84734
153,"Finding Nemo",2003,8.1,1031892,179793,230983,345216,183368,56195,18011,6758,3636,2533,5399,8.1,8.4,546332,176568
154,"The Elephant Man",1980,8.1,239656,42503,55777,76612,40071,13224,5232,2181,1104,777,2175,8.2,8.2,148792,29737
